ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB22416,CL(16:1(9Z)/19:0cycv8c/17:0cycw7c/16:1(9Z)),,,4.241e-05,0.04241± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22418,CL(16:1(9Z)/19:0cycv8c/17:0cycw7c/19:0cycv8c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22419,CL(16:1(9Z)/19:0cycv8c/17:0cycw7c/17:0cycw7c),,,4.948e-05,0.04948± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22421,CL(16:1(9Z)/19:0cycv8c/14:0/16:1(9Z)),,,3.7789999999999996e-05,0.03779± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22423,CL(16:1(9Z)/19:0cycv8c/14:0/19:0cycv8c),,,5.457e-05,0.05457± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22425,CL(16:1(9Z)/19:0cycv8c/14:0/14:0),,,3.562e-05,0.03562± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22436,CL(16:1(9Z)/17:0cycw7c/16:1(9Z)/17:0cycw7c),,,3.9070000000000004e-05,0.03907± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22437,CL(16:1(9Z)/17:0cycw7c/16:1(9Z)/14:0),,,4.7010000000000006e-05,0.04701± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22438,CL(16:1(9Z)/17:0cycw7c/18:1(9Z)/18:1(9Z)),,,4.991e-05,0.04991± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22440,CL(16:1(9Z)/17:0cycw7c/18:1(9Z)/17:0cycw7c),,,4.241e-05,0.04241± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22443,CL(16:1(9Z)/17:0cycw7c/19:0cycv8c/19:0cycv8c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22444,CL(16:1(9Z)/17:0cycw7c/19:0cycv8c/17:0cycw7c),,,4.948e-05,0.04948± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22446,CL(16:1(9Z)/17:0cycw7c/17:0cycw7c/16:1(9Z)),,,3.9070000000000004e-05,0.03907± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22447,CL(16:1(9Z)/17:0cycw7c/17:0cycw7c/18:1(9Z)),,,4.241e-05,0.04241± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22448,CL(16:1(9Z)/17:0cycw7c/17:0cycw7c/19:0cycv8c),,,4.948e-05,0.04948± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22449,CL(16:1(9Z)/17:0cycw7c/17:0cycw7c/17:0cycw7c),,,4.1439999999999996e-05,0.04144± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22450,CL(16:1(9Z)/17:0cycw7c/17:0cycw7c/14:0),,,3.696e-05,0.03696± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
